description,effective_domain_size,goshv,intersection_size,intersections,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size,source_order,group_id,neg_log10_p,gene_ratio
"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",20972,22370,16,"[['IBA', 'IEA'], ['ISS', 'IEA'], ['IBA', 'IEA'], ['ISS', 'IBA', 'IEA'], [], ['IDA', 'IBA'], ['IMP', 'IEA'], ['IEA'], ['IBA', 'IEA'], [], ['TAS', 'IEA'], ['IMP', 'ISS', 'IEA'], ['IMP', 'ISS', 'TAS', 'IEA'], ['IMP', 'ISS'], ['IBA', 'NAS', 'IEA'], ['IDA', 'IMP', 'IBA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IEP', 'ISS', 'IBA', 'TAS', 'IEA']]",anatomical structure development,GO:0048856,3.168126538576961e-05,['GO:0032502'],0.9411764705882353,query_1,17,0.0026899798251513113,True,GO:BP,5948,12247,19,4.499197480520604,0.9411764705882353
"""Combining with insulin-like growth factor receptor ligand and transmitting the signal across the plasma membrane to initiate a change in cell activity."" [GOC:mah]",20208,1206,4,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['IEA'], ['IEA'], ['IEA']]",insulin-like growth factor receptor activity,GO:0005010,3.375779966849174e-05,['GO:0004714'],0.2222222222222222,query_1,18,0.07692307692307693,True,GO:MF,52,1206,1,4.471625868414108,0.2222222222222222
"""Combining with a neurotrophin, any of a family of growth factors that prevent apoptosis in neurons and promote nerve growth, and transmitting the signal to initiate a change in cell activity."" [GOC:jl, GOC:signaling]",20208,1216,4,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['IEA'], ['IEA'], ['IEA']]",neurotrophin receptor activity,GO:0005030,3.375779966849174e-05,['GO:0038023'],0.2222222222222222,query_1,18,0.07692307692307693,True,GO:MF,52,1216,1,4.471625868414108,0.2222222222222222
"""Combining with a vascular endothelial growth factor (VEGF) receptor ligand and transmitting the signal across the plasma membrane to initiate a change in cell activity."" [GOC:mah, GOC:signaling, PMID:19909239]",20208,1212,4,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['IEA'], ['IEA'], ['IEA']]",vascular endothelial growth factor receptor activity,GO:0005021,3.375779966849174e-05,['GO:0004714'],0.2222222222222222,query_1,18,0.07692307692307693,True,GO:MF,52,1212,1,4.471625868414108,0.2222222222222222
"""Combining with a transmembrane ephrin to initiate a change in cell activity."" [GOC:mah, PMID:9530499]",20208,1201,4,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['IEA'], ['IEA'], ['IEA']]",transmembrane-ephrin receptor activity,GO:0005005,3.649327977397149e-05,['GO:0005003'],0.2222222222222222,query_1,18,0.07547169811320754,True,GO:MF,53,1201,1,4.437787103373402,0.2222222222222222
"""Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."" [ISBN:0198506732]",20208,1463,10,"[['IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IEA'], [], [], [], [], [], [], ['IEA'], [], ['IDA', 'IC', 'IEA'], [], ['IEA'], ['IEA'], ['IEA'], ['IEA']]",ATP binding,GO:0005524,3.7011300546116425e-05,"['GO:0032559', 'GO:0035639']",0.5555555555555556,query_1,18,0.006648936170212766,True,GO:MF,1504,1463,2,4.431665653892241,0.5555555555555556
"""Any process that modulates the occurrence or rate of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]",20972,19927,10,"[[], [], [], ['ISS', 'IEA'], ['IDA'], ['IMP'], ['IDA', 'IMP', 'IGI', 'ISS', 'IEA'], ['IEA'], [], [], ['IMP', 'NAS', 'IEA'], [], ['IDA', 'IMP', 'ISS', 'TAS', 'NAS', 'IEA'], ['IDA', 'ISS'], ['IBA'], [], ['IMP', 'IBA'], []]",regulation of apoptotic process,GO:0042981,3.7670017536514765e-05,"['GO:0006915', 'GO:0043067']",0.5882352941176471,query_1,17,0.0070126227208976155,True,GO:BP,1426,9804,19,4.424004177619673,0.5882352941176471
"""Combining with a collagen and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity."" [GOC:bf, GOC:uh, PMID:21568710]",20208,4957,4,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['IEA'], ['IEA'], ['IEA']]",collagen receptor activity,GO:0038064,3.939087456894715e-05,['GO:0004888'],0.2222222222222222,query_1,18,0.07407407407407407,True,GO:MF,54,4957,1,4.404604376737156,0.2222222222222222
"""Combining with an ephrin receptor ligand to initiate a change in cell activity."" [GOC:mah, PMID:9530499]",20208,1199,4,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['IEA'], ['IEA'], ['IEA']]",ephrin receptor activity,GO:0005003,3.939087456894715e-05,['GO:0004714'],0.2222222222222222,query_1,18,0.07407407407407407,True,GO:MF,54,1199,1,4.404604376737156,0.2222222222222222
"""Binding to a purine nucleotide, a compound consisting of a purine nucleoside esterified with (ortho)phosphate."" [GOC:ai]",20208,3041,11,"[['IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IEA'], [], [], [], ['IBA', 'IEA'], [], [], ['IEA'], [], ['IDA', 'IC', 'IEA'], [], ['IEA'], ['IEA'], ['IEA'], ['IEA']]",purine nucleotide binding,GO:0017076,4.094762835666269e-05,['GO:0000166'],0.6111111111111112,query_1,18,0.005508262393590386,True,GO:MF,1997,3041,2,4.387771247052326,0.6111111111111112
"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an insulin stimulus. Insulin is a polypeptide hormone produced by the islets of Langerhans of the pancreas in mammals, and by the homologous organs of other organisms."" [GOC:mah, ISBN:0198506732]",20972,17477,6,"[[], [], [], [], [], [], [], [], [], [], ['IDA', 'TAS', 'IEA'], [], ['IDA', 'IMP', 'ISS', 'IEA'], [], ['IEA'], ['IEA'], ['IEA'], ['IEA']]",cellular response to insulin stimulus,GO:0032869,4.6201744078280985e-05,"['GO:0032868', 'GO:0071375']",0.35294117647058826,query_1,17,0.023809523809523808,True,GO:BP,252,7354,19,4.335341629870783,0.35294117647058826
"""Binding to an adenyl ribonucleotide, any compound consisting of adenosine esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety."" [GOC:mah]",20208,4170,10,"[['IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IEA'], [], [], [], [], [], [], ['IEA'], [], ['IDA', 'IC', 'IEA'], [], ['IEA'], ['IEA'], ['IEA'], ['IEA']]",adenyl ribonucleotide binding,GO:0032559,4.80052796602822e-05,"['GO:0030554', 'GO:0032555']",0.5555555555555556,query_1,18,0.00646830530401035,True,GO:MF,1546,4170,2,4.3187109959320535,0.5555555555555556
"""The multiplication or reproduction of cells, resulting in the expansion of a cell population."" [GOC:mah, GOC:mb]",20972,13133,11,"[[], [], [], [], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IEA'], [], [], ['IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IDA', 'IMP', 'TAS'], ['IDA', 'IMP', 'ISS', 'IBA'], ['IDA', 'IBA', 'IEA'], [], ['IDA', 'IMP', 'IBA', 'IEA'], ['IBA', 'TAS', 'IEA']]",cell population proliferation,GO:0008283,4.969762314078633e-05,['GO:0009987'],0.6470588235294118,query_1,17,0.0056093829678735335,True,GO:BP,1961,3010,19,4.303664381518678,0.6470588235294118
"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",20972,22075,16,"[['IEA'], [], ['IEA'], ['IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IMP', 'IBA'], ['IDA', 'IMP', 'IGI', 'ISS', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IMP'], [], ['IDA', 'IGI', 'ISS', 'TAS', 'NAS', 'IEA'], ['IDA', 'IMP', 'ISS'], ['IDA', 'IMP', 'ISS', 'TAS', 'NAS', 'IEA'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'NAS'], ['IDA', 'IMP', 'ISS', 'IBA', 'IEA'], ['IDA', 'IMP'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IEA']]",positive regulation of biological process,GO:0048518,5.342602618010932e-05,"['GO:0008150', 'GO:0050789']",0.9411764705882353,query_1,17,0.0026016260162601626,True,GO:BP,6150,11952,19,4.272247127374865,0.9411764705882353
Thyroid cancer,8716,39221,4,"[[], [], [], [], [], [], ['KEGG'], ['KEGG'], ['KEGG'], [], [], [], [], ['KEGG'], [], [], [], []]",Thyroid cancer,KEGG:05216,5.3592756836311746e-05,['KEGG:00000'],0.2222222222222222,query_1,18,0.10810810810810811,True,KEGG,37,483,60,4.270893902071841,0.2222222222222222
"""Any process that decreases the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate."" [GOC:BHF, GOC:dph, GOC:tb]",20972,14276,6,"[[], [], [], [], [], ['IDA', 'IBA'], ['IEA'], [], ['IEA'], [], [], ['ISS'], [], ['IMP'], ['IEA'], [], [], []]",negative regulation of cell development,GO:0010721,5.5632266995101055e-05,"['GO:0045596', 'GO:0048468', 'GO:0060284']",0.35294117647058826,query_1,17,0.023076923076923078,True,GO:BP,260,4153,19,4.254673242352849,0.35294117647058826
"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF, GOC:mah]",20972,25337,8,"[[], [], [], [], [], [], ['IEA'], [], [], [], ['IGI'], [], ['IDA', 'IMP', 'IEA'], ['TAS'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['ISS', 'IEA'], ['IEA']]",response to growth factor,GO:0070848,5.856655212372268e-05,['GO:0009719'],0.47058823529411764,query_1,17,0.010899182561307902,True,GO:BP,734,15214,19,4.232350342605423,0.47058823529411764
Small cell lung cancer,8716,39227,5,"[[], [], [], [], [], [], ['KEGG'], [], [], [], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], [], [], [], []]",Small cell lung cancer,KEGG:05222,6.33578101264622e-05,['KEGG:00000'],0.2777777777777778,query_1,18,0.053763440860215055,True,KEGG,93,489,61,4.198199841936701,0.2777777777777778
"""Combining with a signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity by catalysis of the reaction: ATP + a protein-L-tyrosine = ADP + a protein-L-tyrosine phosphate."" [EC:2.7.10.1, GOC:mah]",20208,970,4,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IBA', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'NAS', 'IEA'], ['IDA', 'IBA', 'IEA']]",transmembrane receptor protein tyrosine kinase activity,GO:0004714,7.382379121712138e-05,"['GO:0004713', 'GO:0019199']",0.2222222222222222,query_1,18,0.06349206349206349,True,GO:MF,63,970,1,4.131803655396164,0.2222222222222222
"""Any process that activates or increases the frequency, rate or extent of intracellular signal transduction."" [GOC:BHF, GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]",20972,30939,9,"[[], [], [], [], [], [], ['IMP', 'ISS'], ['IEA'], [], [], ['IGI', 'NAS'], ['IMP'], ['IDA', 'IEA'], ['IDA'], ['IDA', 'ISS', 'IBA', 'IEA'], [], ['IDA', 'IMP', 'IBA'], ['IMP', 'TAS']]",positive regulation of intracellular signal transduction,GO:1902533,7.556649336094045e-05,"['GO:0009967', 'GO:0035556', 'GO:1902531']",0.5294117647058824,query_1,17,0.008122743682310469,True,GO:BP,1108,20816,19,4.121670730611763,0.5294117647058824
"""Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features."" [GOC:go_curators]",20972,20800,10,"[[], [], [], [], [], ['IDA', 'IBA'], ['IEA'], ['IEA'], ['IEA'], [], [], ['IDA', 'IMP', 'ISS'], ['IMP', 'TAS'], ['IMP'], ['IEA'], [], ['IMP'], ['IDA', 'IEA']]",regulation of cell differentiation,GO:0045595,8.301244178295035e-05,"['GO:0030154', 'GO:0050793', 'GO:0050794']",0.5882352941176471,query_1,17,0.006455777921239509,True,GO:BP,1549,10677,19,4.0808568113259325,0.5882352941176471
"""Binding to an adenyl nucleotide, an adenosine esterified with (ortho)phosphate."" [ISBN:0198506732]",20208,3665,10,"[['IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IEA'], [], [], [], [], [], [], ['IEA'], [], ['IDA', 'IC', 'IEA'], [], ['IEA'], ['IEA'], ['IEA'], ['IEA']]",adenyl nucleotide binding,GO:0030554,8.367755257273469e-05,['GO:0017076'],0.5555555555555556,query_1,18,0.006097560975609756,True,GO:MF,1640,3665,2,4.07739103067207,0.5555555555555556
"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving DNA."" [GOC:ai]",20972,22716,6,"[['IEA'], [], ['IEA'], ['IEA'], [], [], [], [], [], [], [], [], ['IDA'], ['ISS'], [], [], ['IDA'], []]",positive regulation of DNA metabolic process,GO:0051054,8.635924727444131e-05,"['GO:0006259', 'GO:0010604', 'GO:0051052']",0.35294117647058826,query_1,17,0.02142857142857143,True,GO:BP,280,12593,19,4.063691151724342,0.35294117647058826
"""Binding to a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose."" [GOC:mah, ISBN:0198547684]",20208,31,11,"[['IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IEA'], [], [], [], ['IBA', 'IEA'], [], [], ['IEA'], [], ['IDA', 'IC', 'IEA'], [], ['IEA'], ['IEA'], ['IEA'], ['IEA']]",nucleotide binding,GO:0000166,9.232752915151737e-05,"['GO:1901265', 'GO:1901363']",0.6111111111111112,query_1,18,0.005090236001850995,True,GO:MF,2161,31,2,4.034668786774699,0.6111111111111112
"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",20972,23610,16,"[['IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'ISS', 'IEA'], ['IDA', 'IMP', 'IEA'], [], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'NAS', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IEA'], [], ['IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IMP', 'ISS', 'TAS', 'NAS', 'IEA'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'NAS', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA'], ['IDA', 'IMP'], ['IDA', 'IMP', 'ISS', 'IEA']]",regulation of macromolecule metabolic process,GO:0060255,9.765538981194695e-05,"['GO:0019222', 'GO:0043170']",0.9411764705882353,query_1,17,0.0025031289111389237,True,GO:BP,6392,13487,19,4.0103037820638905,0.9411764705882353
"""The series of molecular signals initiated by a ligand binding to a vascular endothelial growth factor receptor-1 (VEGFR-1) on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:uh, Wikipedia:FLT1, Wikipedia:VEGF_receptors]",20972,19064,4,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['IEA'], ['IEA'], ['IEA']]",vascular endothelial growth factor receptor-1 signaling pathway,GO:0036323,9.77738335966213e-05,['GO:0048010'],0.23529411764705882,query_1,17,0.08,True,GO:BP,50,8941,19,4.009777356307282,0.23529411764705882
MAPK family signaling cascades,11056,40727,7,"[[], [], [], [], [], [], [], ['REAC'], [], [], ['REAC'], [], [], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]",MAPK family signaling cascades,REAC:R-HSA-5683057,9.960909887570496e-05,['REAC:R-HSA-162582'],0.3888888888888889,query_1,18,0.02258064516129032,True,REAC,310,1403,97,4.001700988774855,0.3888888888888889
"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell adhesion."" [GOC:go_curators]",20972,12715,6,"[[], [], [], [], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], [], [], ['IMP'], [], [], ['IMP'], ['IMP'], [], ['IEA'], [], [], []]",negative regulation of cell adhesion,GO:0007162,9.996482424141658e-05,"['GO:0007155', 'GO:0030155', 'GO:0048523']",0.35294117647058826,query_1,17,0.020905923344947737,True,GO:BP,287,2592,19,4.000152793253164,0.35294117647058826
"""Binding to an identical protein or proteins."" [GOC:jl]",20208,5080,11,"[[], [], [], ['IDA'], [], [], ['IPI'], ['IPI'], ['IPI'], [], [], ['IPI'], ['IDA', 'IPI'], ['IPI'], ['IPI'], ['IPI'], ['IPI'], ['IPI']]",identical protein binding,GO:0042802,0.00010053343537763913,['GO:0005515'],0.6111111111111112,query_1,18,0.005048187241854061,True,GO:MF,2179,5080,7,3.9976894767004096,0.6111111111111112
"""Combining with a protein hormone to initiate a change in cell activity."" [GOC:mah]",20208,2738,4,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['IEA'], ['IEA'], ['IEA']]",protein-hormone receptor activity,GO:0016500,0.00010065112300548448,['GO:0038023'],0.2222222222222222,query_1,18,0.058823529411764705,True,GO:MF,68,2738,1,3.9971813751482603,0.2222222222222222
"""Binding to nucleoside phosphate."" [GOC:TermGenie]",20208,9833,11,"[['IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IEA'], [], [], [], ['IBA', 'IEA'], [], [], ['IEA'], [], ['IDA', 'IC', 'IEA'], [], ['IEA'], ['IEA'], ['IEA'], ['IEA']]",nucleoside phosphate binding,GO:1901265,0.00010100786887245382,['GO:0005488'],0.6111111111111112,query_1,18,0.005045871559633028,True,GO:MF,2180,9833,2,3.9956447918137146,0.6111111111111112
"""Any process that activates or increases the frequency, rate or extent of isotype switching to IgG isotypes."" [GOC:jid]",20972,21923,3,"[['IEA'], [], ['IEA'], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",positive regulation of isotype switching to IgG isotypes,GO:0048304,0.00010691473507671988,"['GO:0045830', 'GO:0048291', 'GO:0048302']",0.17647058823529413,query_1,17,0.2727272727272727,True,GO:BP,11,11800,19,3.9709624358435427,0.17647058823529413
"""Any process that modulates the frequency, rate, or extent of an immune system process."" [GOC:add]",20972,11277,10,"[['IEA'], [], ['IEA'], ['IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], [], [], [], [], ['TAS'], [], ['IDA', 'IMP', 'TAS'], ['IMP'], ['IEA'], [], [], ['IDA', 'ISS', 'IEA']]",regulation of immune system process,GO:0002682,0.0001090260927484415,"['GO:0002376', 'GO:0050789']",0.5882352941176471,query_1,17,0.006273525721455458,True,GO:BP,1594,1154,19,3.9624695517791406,0.5882352941176471
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,11056,41978,4,"[[], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], ['REAC'], [], ['REAC'], ['REAC']]",Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,REAC:R-HSA-8864260,0.00011240530466475056,['REAC:R-HSA-212436'],0.2222222222222222,query_1,18,0.10526315789473684,True,REAC,38,2654,99,3.9492131929282728,0.2222222222222222
"""Binding to a molecule and eliciting a change in the protein's activity in response to the intracellular level of that molecule."" [PMID:26328879]",20208,9259,4,"[['IEA'], ['IEA'], ['IEA'], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",molecular sensor activity,GO:0140299,0.00011988606785102003,['GO:0098772'],0.2222222222222222,query_1,18,0.056338028169014086,True,GO:MF,71,9259,3,3.921231284015309,0.2222222222222222
"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stem cell factor (SCF) stimulus."" [GOC:uh, PMID:18787413, PMID:7520444]",20972,19004,4,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'IBA', 'IEA']]",cellular response to stem cell factor stimulus,GO:0036216,0.000124133756499896,"['GO:0036215', 'GO:0071345']",0.23529411764705882,query_1,17,0.07547169811320754,True,GO:BP,53,8881,19,3.906110101916884,0.23529411764705882
"""The series of molecular signals initiated by the binding of stem cell factor to the tyrosine kinase receptor KIT on the surface of a target cell, and ending with regulation of a downstream cellular process, e.g. transcription. Stem cell factor (KIT ligand) binding to the receptor Kit mediates receptor dimerization, activation of its intrinsic tyrosine kinase activity and autophosphorylation. The activated receptor then phosphorylates various substrates, thereby activating distinct signaling cascades within the cell that trigger a change in state or activity of the cell."" [GOC:nhn, GOC:signaling, PMID:16129412]",20972,19199,4,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'IBA', 'IEA']]",Kit signaling pathway,GO:0038109,0.000124133756499896,"['GO:0007169', 'GO:0019221', 'GO:0036216']",0.23529411764705882,query_1,17,0.07547169811320754,True,GO:BP,53,9076,19,3.906110101916884,0.23529411764705882
"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stem cell factor (SCF) stimulus."" [GOC:uh]",20972,19003,4,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'IBA', 'IEA']]",response to stem cell factor,GO:0036215,0.000124133756499896,['GO:0034097'],0.23529411764705882,query_1,17,0.07547169811320754,True,GO:BP,53,8880,19,3.906110101916884,0.23529411764705882
"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",20972,17240,16,"[['IBA', 'IEA'], ['ISS', 'IEA'], ['IBA', 'IEA'], ['ISS', 'IBA', 'IEA'], [], ['IDA', 'IBA'], ['IMP', 'IEA'], ['IEA'], ['IBA', 'IEA'], [], ['TAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IDA', 'IMP', 'ISS', 'TAS', 'IEA'], ['IMP', 'ISS'], ['IBA', 'NAS', 'IEA'], ['IDA', 'IMP', 'IBA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IEP', 'ISS', 'IBA', 'TAS', 'IEA']]",developmental process,GO:0032502,0.00013793992697229591,['GO:0008150'],0.9411764705882353,query_1,17,0.002448355011476664,True,GO:BP,6535,7117,19,3.860310008269778,0.9411764705882353
"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."" [GOC:add, ISBN:0781735149]",20972,10982,6,"[['IEA'], ['ISS', 'IEA'], ['IEA'], ['ISS', 'IEA'], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], ['IMP']]",leukocyte activation involved in immune response,GO:0002366,0.0001405175384188397,"['GO:0002263', 'GO:0045321']",0.35294117647058826,query_1,17,0.019736842105263157,True,GO:BP,304,859,19,3.852269466768415,0.35294117647058826
Focal adhesion,8716,39061,6,"[[], [], [], [], [], [], [], [], [], [], ['KEGG'], ['KEGG'], ['KEGG'], [], ['KEGG'], ['KEGG'], ['KEGG'], []]",Focal adhesion,KEGG:04510,0.00014076819728945899,['KEGG:00000'],0.3333333333333333,query_1,18,0.0297029702970297,True,KEGG,202,323,62,3.8514954510303556,0.3333333333333333
"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",20972,30361,9,"[[], [], [], [], ['IBA'], [], ['IDA'], [], ['IDA'], [], ['IDA', 'ISS', 'TAS', 'IEA'], [], ['IDA', 'IMP', 'ISS', 'IEA'], [], ['IEA'], ['IMP', 'IEA'], ['IDA', 'IEA'], ['IEA']]",cellular response to oxygen-containing compound,GO:1901701,0.0001439106942641472,"['GO:0070887', 'GO:1901700']",0.5294117647058824,query_1,17,0.007537688442211055,True,GO:BP,1194,20238,19,3.841906931655238,0.5294117647058824
"""The process in which immunoglobulin genes are formed through recombination of the germline genetic elements, also known as immunoglobulin gene segments, within a single locus following the induction of and contributing to an immune response."" [GOC:add, ISBN:0781735149]",20972,10845,4,"[['IEA'], ['ISS', 'IEA'], ['IEA'], ['ISS', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",somatic recombination of immunoglobulin genes involved in immune response,GO:0002204,0.00014443579632552768,"['GO:0002208', 'GO:0016447']",0.23529411764705882,query_1,17,0.07272727272727272,True,GO:BP,55,722,19,3.8403251598131525,0.23529411764705882
"""The somatic process that results in the generation of sequence diversity of immunoglobulins after induction, and contributes to an immune response."" [GOC:add, ISBN:0781735149, PMID:14991701]",20972,10847,4,"[['IEA'], ['ISS', 'IEA'], ['IEA'], ['ISS', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",somatic diversification of immunoglobulins involved in immune response,GO:0002208,0.00014443579632552768,"['GO:0002381', 'GO:0016445']",0.23529411764705882,query_1,17,0.07272727272727272,True,GO:BP,55,724,19,3.8403251598131525,0.23529411764705882
"""The series of molecular signals initiated by the binding of the cytokine macrophage colony-stimulating factor (M-CSF) to its receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:signaling, GOC:uh, PMID:12138890, Wikipedia:Macrophage_colony-stimulating_factor]",20972,19222,4,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['IEA'], ['IEA'], ['IEA']]",macrophage colony-stimulating factor signaling pathway,GO:0038145,0.00014443579632552768,"['GO:0019221', 'GO:0036006']",0.23529411764705882,query_1,17,0.07272727272727272,True,GO:BP,55,9099,19,3.8403251598131525,0.23529411764705882
"""The switching of activated B cells from IgM biosynthesis to biosynthesis of other isotypes of immunoglobulin, accomplished through a recombination process involving an intrachromosomal deletion involving switch regions that reside 5' of each constant region gene segment in the immunoglobulin heavy chain locus."" [ISBN:0781735149]",20972,20680,4,"[['IEA'], ['ISS', 'IEA'], ['IEA'], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",isotype switching,GO:0045190,0.00014443579632552768,"['GO:0002204', 'GO:0002312']",0.23529411764705882,query_1,17,0.07272727272727272,True,GO:BP,55,10557,19,3.8403251598131525,0.23529411764705882
